g,r,x
0.0,0.0,0.25
0.0,0.01,0.18428237519522994
0.0,0.02,0.1345038530740456
0.0,0.03,0.09723397115991098
0.0,0.04,0.06965172262241702
0.0,0.05,0.0494690099007236
0.0,0.06,0.034859497705609865
0.0,0.07,0.024390426250094105
0.0,0.08,0.016957451564289943
0.0,0.09,0.01172391166054938
0.0,0.1,0.008066180607247567
0.01,0.0,0.33578438042384595
0.01,0.01,0.25
0.01,0.02,0.18428237519522994
0.01,0.03,0.1345038530740457
0.01,0.04,0.09723397115991098
0.01,0.05,0.06965172262241703
0.01,0.06,0.0494690099007236
0.01,0.07,0.03485949770560987
0.01,0.08,0.02439042625009411
0.01,0.09,0.016957451564289953
0.01,0.1,0.011723911660549377
0.02,0.0,0.4465685187644091
0.02,0.01,0.33578438042384606
0.02,0.02,0.25
0.02,0.03,0.18428237519522983
0.02,0.04,0.13450385307404564
0.02,0.05,0.09723397115991095
0.02,0.06,0.06965172262241702
0.02,0.07,0.049469009900723594
0.02,0.08,0.034859497705609865
0.02,0.09,0.02439042625009412
0.02,0.1,0.016957451564289946
0.03,0.0,0.5882312470823567
0.03,0.01,0.446568518764409
0.03,0.02,0.335784380423846
0.03,0.03,0.25
0.03,0.04,0.18428237519522989
0.03,0.05,0.13450385307404567
0.03,0.06,0.09723397115991095
0.03,0.07,0.06965172262241699
0.03,0.08,0.049469009900723594
0.03,0.09,0.03485949770560987
0.03,0.1,0.024390426250094112
0.04,0.0,0.7677832236824277
0.04,0.01,0.5882312470823569
0.04,0.02,0.44656851876440906
0.04,0.03,0.33578438042384595
0.04,0.04,0.25
0.04,0.05,0.18428237519522989
0.04,0.06,0.1345038530740457
0.04,0.07,0.09723397115991092
0.04,0.08,0.069651722622417
0.04,0.09,0.04946900990072362
0.04,0.1,0.03485949770560987
0.05,0.0,0.9936116249145202
0.05,0.01,0.7677832236824277
0.05,0.02,0.5882312470823566
0.05,0.03,0.4465685187644091
0.05,0.04,0.335784380423846
0.05,0.05,0.25
0.05,0.06,0.18428237519522989
0.05,0.07,0.13450385307404564
0.05,0.08,0.09723397115991095
0.05,0.09,0.06965172262241703
0.05,0.1,0.04946900990072361
0.06,0.0,1.2757960696187647
0.06,0.01,0.9936116249145204
0.06,0.02,0.7677832236824277
0.06,0.03,0.5882312470823566
0.06,0.04,0.44656851876440906
0.06,0.05,0.33578438042384573
0.06,0.06,0.25
0.06,0.07,0.18428237519522986
0.06,0.08,0.13450385307404564
0.06,0.09,0.09723397115991099
0.06,0.1,0.06965172262241702
0.07,0.0,1.6265080391430469
0.07,0.01,1.2757960696187651
0.07,0.02,0.9936116249145204
0.07,0.03,0.7677832236824276
0.07,0.04,0.5882312470823569
0.07,0.05,0.4465685187644093
0.07,0.06,0.3357843804238461
0.07,0.07,0.25
0.07,0.08,0.18428237519522989
0.07,0.09,0.13450385307404575
0.07,0.1,0.09723397115991102
0.08,0.0,2.0605070196305952
0.08,0.01,1.6265080391430469
0.08,0.02,1.2757960696187651
0.08,0.03,0.9936116249145203
0.08,0.04,0.7677832236824279
0.08,0.05,0.5882312470823569
0.08,0.06,0.4465685187644092
0.08,0.07,0.3357843804238457
0.08,0.08,0.25
0.08,0.09,0.18428237519523002
0.08,0.1,0.13450385307404572
0.09,0.0,2.595749264656716
0.09,0.01,2.060507019630594
0.09,0.02,1.626508039143046
0.09,0.03,1.2757960696187645
0.09,0.04,0.9936116249145199
0.09,0.05,0.7677832236824276
0.09,0.06,0.5882312470823565
0.09,0.07,0.44656851876440906
0.09,0.08,0.3357843804238456
0.09,0.09,0.25
0.09,0.1,0.18428237519522989
0.1,0.0,3.254129510476384
0.1,0.01,2.595749264656716
0.1,0.02,2.060507019630595
0.1,0.03,1.6265080391430462
0.1,0.04,1.275796069618765
0.1,0.05,0.99361162491452
0.1,0.06,0.7677832236824274
0.1,0.07,0.5882312470823565
0.1,0.08,0.446568518764409
0.1,0.09,0.3357843804238461
0.1,0.1,0.25
